resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,sample_region,relig_church,pid_self,paprofile_libcon_self,dem_edugroup_x,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,govrole_big,govrole_market,iwrdesc_pre_skintone,knowl_senmaj_f,knowl_housemaj_f,pid_dum_dem,female,south,soph,egal_scale,econ_indiv,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,resent_deserve_m,resent_try_m,resent_workway_m,resent_slavery_m,soph_cat
5,2,5,4,1,1,0,0,1,1,3,1,1,5,3,89,4,4,2,2,4,4,0,0,-1,Incorrect,Correct,1,0,1,0.6,0.8333333333333334,0,Disagree Strongly,Agree,Agree Strongly,Agree,5,5,4,2,Med-High (0.5-0.75)
5,4,5,5,1,1,0,1,1,1,4,1,2,6,4,30,5,2,1,1,2,1,1,1,-1,Correct,Correct,0,0,0,0.8,0.5,1,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,5,5,5,4,High (0.75-1)
5,5,5,5,1,0,0,0,1,2,1,1,1,2,3,60,5,3,4,5,4,5,0,0,-1,Incorrect,Correct,1,1,0,0.4,1.0833333333333333,0,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,5,5,5,5,Med-Low (0.25-0.5)
4,4,3,3,1,1,1,1,1,2,3,1,2,5,5,70,3,3,2,3,3,3,1,1,-1,Correct,Correct,0,1,1,1,0.7083333333333334,1,Disagree,Disagree,Neither,Neither,4,3,3,4,High (0.75-1)
3,2,3,3,1,1,1,1,1,1,4,2,3,3,4,50,4,5,4,5,4,4,0,0,-1,Correct,Correct,0,0,0,1,1.0833333333333333,0,Neither,Agree,Neither,Neither,3,3,3,2,High (0.75-1)
4,4,2,3,1,1,1,1,1,1,4,1,1,4,3,70,4,2,3,2,4,4,1,0,-1,Correct,Correct,1,0,0,1,0.7916666666666666,0.5,Disagree,Disagree,Disagree,Neither,4,2,3,4,High (0.75-1)
4,2,4,3,1,1,1,0,0,2,3,1,1,4,4,80,5,4,4,4,4,4,0,0,-1,Incorrect,Incorrect,1,1,1,0.6,1.0416666666666667,0,Disagree,Agree,Agree,Neither,4,4,3,2,Med-High (0.5-0.75)
5,4,3,5,1,1,0,1,1,2,2,1,2,7,3,85,5,5,5,5,5,4,1,1,-1,Correct,Correct,0,1,0,0.8,1.2083333333333333,1,Disagree Strongly,Disagree,Neither,Agree Strongly,5,3,5,4,High (0.75-1)
4,4,4,5,1,0,0,0,1,2,3,2,2,2,2,55,5,5,4,5,5,5,0,0,-1,Incorrect,Correct,0,1,1,0.4,1.2083333333333333,0,Disagree,Disagree,Agree,Agree Strongly,4,4,5,4,Med-Low (0.25-0.5)
2,2,1,2,1,0,0,1,1,2,4,2,1,2,3,50,4,5,2,5,4,5,0,0,-1,Correct,Correct,1,1,0,0.6,1.0416666666666667,0,Agree,Agree,Disagree Strongly,Disagree,2,1,2,2,Med-High (0.5-0.75)
4,2,4,5,1,1,1,0,1,2,3,1,2,6,2,60,2,2,2,2,2,2,1,1,-1,Incorrect,Correct,0,1,1,0.8,0.5,1,Disagree,Agree,Agree,Agree Strongly,4,4,5,2,High (0.75-1)
5,5,5,5,1,0,0,1,0,2,3,2,1,4,2,75,3,5,1,1,5,5,0,0,-1,Correct,Incorrect,1,1,1,0.4,0.8333333333333334,0,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,5,5,5,5,Med-Low (0.25-0.5)
4,2,2,2,1,1,1,1,1,1,1,1,1,3,5,75,5,3,4,3,2,2,0,0,-1,Correct,Correct,1,0,0,1,0.7916666666666666,0,Disagree,Agree,Disagree,Disagree,4,2,2,2,High (0.75-1)
4,2,4,4,1,0,0,1,0,2,3,1,2,6,3,60,5,2,2,2,4,2,0,0,-1,Correct,Incorrect,0,1,1,0.4,0.7083333333333334,0,Disagree,Agree,Agree,Agree,4,4,4,2,Med-Low (0.25-0.5)
4,5,4,5,1,1,1,1,1,2,2,2,1,2,2,70,5,5,4,5,5,5,1,0,-1,Correct,Correct,1,1,0,1,1.2083333333333333,0.5,Disagree,Disagree Strongly,Agree,Agree Strongly,4,4,5,5,High (0.75-1)
4,2,3,4,1,0,0,0,1,2,1,2,3,3,5,75,5,5,5,4,2,5,1,1,-1,Incorrect,Correct,0,1,0,0.4,1.0833333333333333,1,Disagree,Agree,Neither,Agree,4,3,4,2,Med-Low (0.25-0.5)
5,5,4,5,1,0,0,1,1,1,1,2,2,3,3,85,5,1,5,1,1,4,1,1,-1,Correct,Correct,0,0,0,0.6,0.7083333333333334,1,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,5,4,5,5,Med-High (0.5-0.75)
3,2,4,4,1,0,0,0,1,2,1,2,3,4,2,50,4,3,3,2,3,4,0,0,-1,Incorrect,Correct,0,1,0,0.4,0.7916666666666666,0,Neither,Agree,Agree,Agree,3,4,4,2,Med-Low (0.25-0.5)
5,5,3,5,1,0,1,1,1,2,2,1,2,7,1,85,5,3,2,4,3,3,1,1,-1,Correct,Correct,0,1,0,0.8,0.8333333333333334,1,Disagree Strongly,Disagree Strongly,Neither,Agree Strongly,5,3,5,5,High (0.75-1)
2,2,2,3,1,0,0,0,1,2,4,1,1,3,4,85,5,3,4,4,4,5,0,0,-1,Incorrect,Correct,1,1,0,0.4,1.0416666666666667,0,Agree,Agree,Disagree,Neither,2,2,3,2,Med-Low (0.25-0.5)
4,4,1,1,0,0,0,1,1,1,4,1,3,5,3,2,4,2,3,3,3,2,0,0,-1,Correct,Correct,0,0,0,0.4,0.7083333333333334,0,Disagree,Disagree,Disagree Strongly,Disagree Strongly,4,1,1,4,Med-Low (0.25-0.5)
4,1,2,2,1,0,0,1,0,1,3,1,1,4,5,75,3,5,3,4,2,4,0,0,-1,Correct,Incorrect,1,0,1,0.4,0.875,0,Disagree,Agree Strongly,Disagree,Disagree,4,2,2,1,Med-Low (0.25-0.5)
5,5,3,5,1,0,0,0,0,2,1,1,3,5,3,85,3,2,2,1,5,4,1,0,-1,Incorrect,Incorrect,0,1,0,0.2,0.7083333333333334,0.5,Disagree Strongly,Disagree Strongly,Neither,Agree Strongly,5,3,5,5,Low (0-0.25)
5,2,2,3,1,1,1,1,1,1,4,2,3,2,3,80,2,4,2,5,3,4,1,0,-1,Correct,Correct,0,0,0,1,0.8333333333333334,0.5,Disagree Strongly,Agree,Disagree,Neither,5,2,3,2,High (0.75-1)
5,5,5,5,1,1,1,1,1,2,2,1,2,6,3,50,2,1,1,1,2,1,1,1,-1,Correct,Correct,0,1,0,1,0.3333333333333333,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,5,5,5,5,High (0.75-1)
5,5,4,4,1,1,0,1,1,2,3,2,2,5,4,70,4,3,2,3,2,2,1,1,-1,Correct,Correct,0,1,1,0.8,0.6666666666666666,1,Disagree Strongly,Disagree Strongly,Agree,Agree,5,4,4,5,High (0.75-1)
