resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,sample_region,relig_church,pid_self,paprofile_libcon_self,dem_edugroup_x,dem_raceeth_x,dem_age_r_x,inc_incgroup_pre,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,govrole_big,govrole_market,paprofile_freqpolit_socmedia,knowl_senmaj_f,knowl_housemaj_f,pid_dum_dem,female,south,soph,egal_scale,econ_indiv,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,year,resent_deserve_m,resent_try_m,resent_workway_m,resent_slavery_m
5,4,3,5,1,1,0,1,1,1,2,2,3,4,5,1,53,28,90,2,2,1,3,5,3,1,1,4,Correct,Correct,0,0,0,0.8,0.5333333333333333,1,Disagree Strongly,Disagree,Neither,Agree Strongly,2012,5,3,5,4
5,5,5,5,1,0,0,1,1,1,3,1,2,7,3,1,53,15,65,5,1,5,1,1,1,1,1,2,Correct,Correct,0,0,1,0.6,0.4666666666666667,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
3,4,4,4,1,0,0,1,1,2,2,1,2,6,4,1,35,23,50,3,2,3,2,3,3,1,0,4,Correct,Correct,0,1,0,0.6,0.5333333333333333,0.5,Neither,Disagree,Agree,Agree,2012,3,4,4,4
1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,1,59,1,80,5,5,5,5,5,4,0,0,1,Correct,Correct,1,0,0,1,0.9666666666666667,0,Agree Strongly,Agree Strongly,Disagree Strongly,Disagree Strongly,2012,1,1,1,1
4,5,1,3,1,0,1,1,1,2,3,1,3,4,3,1,21,3,85,2,3,2,2,3,3,1,1,1,Correct,Correct,0,1,1,0.8,0.5,1,Disagree,Disagree Strongly,Disagree Strongly,Neither,2012,4,1,3,5
5,4,4,5,1,0,0,0,1,2,1,2,2,6,3,1,44,5,35,2,2,1,4,4,2,1,1,2,Incorrect,Correct,0,1,0,0.4,0.5,1,Disagree Strongly,Disagree,Agree,Agree Strongly,2012,5,4,5,4
4,2,2,2,1,1,1,1,1,2,4,2,1,2,4,1,41,5,60,2,4,4,4,5,4,0,0,3,Correct,Correct,1,1,0,1,0.7666666666666667,0,Disagree,Agree,Disagree,Disagree,2012,4,2,2,2
4,3,4,4,1,0,0,1,1,2,4,2,1,1,3,1,50,1,90,5,4,4,4,5,5,1,0,5,Correct,Correct,1,1,0,0.6,0.9,0.5,Disagree,Neither,Agree,Agree,2012,4,4,4,3
4,3,4,5,1,1,0,1,1,2,3,2,1,2,2,1,18,7,45,3,4,3,3,2,4,0,1,1,Correct,Correct,1,1,1,0.8,0.6333333333333333,0.5,Disagree,Neither,Agree,Agree Strongly,2012,4,4,5,3
3,2,2,2,1,1,1,1,1,1,3,1,3,4,4,1,53,23,85,4,4,4,4,5,4,0,0,4,Correct,Correct,0,0,1,1,0.8333333333333334,0,Neither,Agree,Disagree,Disagree,2012,3,2,2,2
5,5,5,5,1,1,1,0,1,2,4,2,1,4,3,1,58,23,30,4,2,4,2,4,4,0,0,3,Incorrect,Correct,1,1,0,0.8,0.6666666666666666,0,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
